Station_Names,YEAR,Month,Temprature,Rainfall
Jessore,1950,10,34.3,55
Jessore,1950,11,31.7,124
Jessore,1950,12,30.8,0
Khulna,1950,1,31.1,0
Khulna,1950,2,32.8,4
Khulna,1950,3,36.1,19
Khulna,1950,4,37.2,13
Khulna,1950,5,36.1,75
Khulna,1950,6,35.6,361
Khulna,1950,7,32.2,303
Khulna,1950,8,33.3,243
Khulna,1950,9,33.9,178
Khulna,1950,10,34.4,114
Khulna,1950,11,32.2,177
Khulna,1950,12,30.6,0
Mymensingh,1950,1,29.2,0
Mymensingh,1950,2,30.4,30
Mymensingh,1950,3,34.9,64
Mymensingh,1950,4,37.7,25
Mymensingh,1950,5,37.7,130
Mymensingh,1950,6,35.4,502
Mymensingh,1950,7,37.4,79
Mymensingh,1950,8,35.4,498
Mymensingh,1950,9,35.4,73
Mymensingh,1950,10,34.3,31
Mymensingh,1950,11,32.1,41
Mymensingh,1950,12,30.4,0
Satkhira,1950,1,31.5,0
Satkhira,1950,2,35.6,10
Satkhira,1950,3,36.7,35
Satkhira,1950,4,37.7,4
Satkhira,1950,5,37.6,88
Satkhira,1950,6,37.2,599
Satkhira,1950,7,35.8,180
Satkhira,1950,8,32.9,311
Satkhira,1950,9,34.9,296
Satkhira,1950,10,34.1,126
Satkhira,1950,11,32.2,183
Satkhira,1950,12,30.4,0
Srimangal,1950,1,28.3,0
Srimangal,1950,2,30.9,62
Srimangal,1950,3,34.5,16
Srimangal,1950,4,37.6,214
Srimangal,1950,5,36.2,172
Srimangal,1950,6,35.6,386
Srimangal,1950,7,34.4,230
Srimangal,1950,8,33.4,367
Srimangal,1950,9,34.4,144
Srimangal,1950,10,33.5,226
Srimangal,1950,11,32.3,103
Srimangal,1950,12,27.8,0
Barisal,1951,1,28.2,0
Barisal,1951,2,32.3,0
Barisal,1951,3,35.6,67
Barisal,1951,4,36.7,137
Barisal,1951,5,35.2,114
Barisal,1951,6,33.9,394
Barisal,1951,7,35,375
Barisal,1951,8,33.3,194
Barisal,1951,9,34.4,286
Barisal,1951,10,33.3,301
Barisal,1951,11,31.1,31
Barisal,1951,12,31.7,0
Bogra,1951,1,25.8,5
Bogra,1951,2,29.7,0
Bogra,1951,3,34.2,13
Bogra,1951,4,35.9,0
Bogra,1951,5,34.1,90
Bogra,1951,6,33.5,351
Bogra,1951,7,32,390
Bogra,1951,8,32.2,226
Bogra,1951,9,32.5,86
Bogra,1951,10,32.1,169
Bogra,1951,11,30.7,21
Bogra,1951,12,28.1,0
Chittagong (IAP-Patenga),1951,1,30,0
Chittagong (IAP-Patenga),1951,2,31.4,0
Chittagong (IAP-Patenga),1951,3,35.2,70
Chittagong (IAP-Patenga),1951,4,34,181
Chittagong (IAP-Patenga),1951,5,33,139
